0	40.7585
1	40.7585
2	40.7585
3	40.7585
4	40.7585
5	40.7585
6	40.7585
7	40.7585
8	40.7585
9	40.7585
10	40.7585
11	40.7585
12	40.7585
13	40.7585
14	40.7585
15	40.7585
16	40.7585
17	40.7585
18	40.7585
19	40.7585
20	40.7585
21	40.7585
22	40.7585
23	40.7585
24	40.7585
25	40.7585
26	40.7585
27	40.7585
28	40.7585
29	40.7585
30	40.7585
31	40.7585
32	40.7585
33	40.7585
34	40.7585
35	40.7585
36	40.7585
37	40.7585
38	40.7585
39	40.7585
40	40.7585
41	40.7585
42	40.7585
43	40.7585
44	40.7585
45	40.7585
46	40.7585
47	40.7585
48	40.7585
49	40.7585
50	40.7585
51	40.7585
52	40.7585
53	40.7585
54	40.7585
55	40.7585
56	40.7585
57	40.7585
58	40.7585
59	40.7585
60	40.7585
61	40.7585
62	40.7585
63	40.7585
64	40.7585
65	40.7585
66	40.7585
67	40.7585
68	40.7585
69	40.7585
70	40.7585
71	40.7585
72	40.7585
73	40.7585
74	40.7585
75	40.7585
76	40.7585
77	40.7585
78	40.7585
79	40.7585
80	40.7585
81	40.7585
82	40.7585
83	40.7585
84	40.7585
85	40.7585
86	40.7585
87	40.7585
88	40.7585
89	40.7585
90	40.7585
91	40.7585
92	40.7585
93	40.7585
94	40.7585
95	40.7585
96	40.7585
97	40.7585
98	40.7585
99	40.7585
